NAME,DP03_0062E,DP03_0119PE,DP03_0009PE,DP05_0001E,DP05_0018E,DP05_0019E,DP05_0077PE,DP05_0003PE
"Greenlee County, Arizona",75239,8.3,3.5,9452,36.1,2565,43.2,47.7
"La Paz County, Arizona",49506,15.2,10.8,16605,59.7,2605,23.4,48.3
"Maricopa County, Arizona",85518,7.8,4.6,4491987,37.5,1025680,26.2,50.3
"Mohave County, Arizona",55799,11.4,6.9,217420,53.2,35542,13.0,49.4
"Navajo County, Arizona",52752,19.4,8.8,107744,39.4,27587,8.3,49.8
"Pima County, Arizona",67929,9.8,5.7,1049947,39.7,208584,32.1,50.6
"Pinal County, Arizona",77588,7.8,5.8,449219,40.3,97593,25.6,48.0
"Santa Cruz County, Arizona",53614,16.5,10.5,48209,37.9,12588,80.4,51.7
"Yavapai County, Arizona",66106,7.8,4.2,241656,55.0,37723,12.5,50.7
"Yuma County, Arizona",60417,13.8,8.1,207685,35.8,51611,61.6,48.4
"Arkansas County, Arkansas",60831,8.7,6.8,16773,41.0,3890,2.5,51.1
"Ashley County, Arkansas",44481,17.0,6.1,18722,42.7,4243,4.6,52.7
"Baxter County, Arkansas",48427,9.0,5.6,42150,51.9,7480,1.6,51.3
"Benton County, Arkansas",89879,5.7,3.1,294541,35.8,75790,11.9,49.8
"Boone County, Arkansas",54195,8.6,3.9,37896,41.3,8626,1.8,50.9
"Bradley County, Arkansas",39565,18.5,4.4,10354,38.5,2565,15.6,52.3
"Calhoun County, Arkansas",63654,9.9,7.2,4717,44.8,863,11.3,48.9
"Carroll County, Arkansas",55187,11.5,3.9,28526,44.7,6290,11.3,49.4
"Chicot County, Arkansas",39683,16.1,8.5,9997,42.9,2220,4.7,49.3
"Clark County, Arkansas",50985,11.9,4.4,21378,31.9,4214,3.9,52.3
"Clay County, Arkansas",48500,13.7,6.3,14399,42.6,3111,0.5,51.3
"Cleburne County, Arkansas",55979,10.6,6.5,25048,49.5,4737,2.2,50.0
"Cleveland County, Arkansas",50509,10.9,2.3,7491,43.7,1573,0.2,52.4
"Columbia County, Arkansas",47363,19.1,3.1,22527,34.5,4842,3.2,51.9
"Conway County, Arkansas",51212,15.2,6.7,20872,42.6,4722,4.5,50.3
"Craighead County, Arkansas",57615,13.2,6.0,112097,34.5,28368,5.2,51.2
"Crawford County, Arkansas",60362,10.7,5.2,60792,39.1,14676,3.3,50.7
"Crittenden County, Arkansas",54271,16.2,9.4,47609,36.0,12993,2.0,52.7
"Cross County, Arkansas",47012,17.8,8.5,16681,40.6,4059,2.1,51.6
"Dallas County, Arkansas",44694,9.5,8.5,6351,44.5,1293,1.3,49.8
"Desha County, Arkansas",36064,22.5,4.3,11041,41.2,2790,6.5,52.4
"Drew County, Arkansas",41071,15.7,5.1,17143,37.7,3804,3.3,51.3
"Faulkner County, Arkansas",65071,9.9,3.3,126001,34.0,28718,3.4,51.2
"Franklin County, Arkansas",51919,11.6,4.4,17220,42.4,3892,2.7,50.3
"Fulton County, Arkansas",38941,10.6,3.8,12239,48.6,2496,0.8,50.9
"Garland County, Arkansas",55409,11.7,5.9,100062,45.3,20004,5.2,51.7
"Grant County, Arkansas",72512,7.0,4.0,18111,40.2,3868,1.5,49.7
"Greene County, Arkansas",56793,12.1,7.5,46182,37.8,11158,2.6,50.4
"Hempstead County, Arkansas",47654,11.9,3.9,19778,41.1,5051,13.6,52.2
"Hot Spring County, Arkansas",52644,13.1,3.6,33142,43.0,6499,2.9,47.7
"Howard County, Arkansas",44492,18.4,7.5,12701,39.4,3290,10.8,52.1
"Independence County, Arkansas",56009,15.0,4.6,38120,39.0,9216,4.7,50.0
"Izard County, Arkansas",47728,15.8,7.0,13866,47.5,2460,1.2,47.3
"Jackson County, Arkansas",41215,18.4,9.7,16775,40.4,3285,2.5,49.8
"Jefferson County, Arkansas",48552,17.1,7.5,65780,39.5,14222,2.2,50.2
"Johnson County, Arkansas",44808,14.1,4.9,25932,39.4,6349,12.0,50.5
"Lafayette County, Arkansas",37237,18.6,8.8,6211,48.5,1148,0.7,48.5
"Lawrence County, Arkansas",44164,13.4,6.3,16265,39.8,3667,1.2,50.6
"Lee County, Arkansas",36860,23.1,17.7,8511,41.9,1640,2.7,44.0
"Lincoln County, Arkansas",51667,15.2,2.3,12966,40.1,2068,4.2,36.8
"Little River County, Arkansas",52241,11.9,9.0,11959,42.2,2661,3.4,53.2
"Logan County, Arkansas",54237,8.1,5.9,21240,43.8,4543,2.8,50.7
"Lonoke County, Arkansas",71449,8.1,4.5,74747,37.3,18680,3.6,50.6
"Madison County, Arkansas",53888,11.6,4.3,17032,41.2,3982,4.0,50.0
"Marion County, Arkansas",46953,10.8,6.5,17076,51.9,3172,1.1,50.4
"Miller County, Arkansas",49983,15.8,7.2,42588,39.0,10063,2.9,50.1
"Mississippi County, Arkansas",53428,16.7,8.4,39749,36.9,10393,4.3,50.8
"Monroe County, Arkansas",43955,18.1,9.4,6681,45.5,1544,0.7,51.8
"Montgomery County, Arkansas",49015,16.8,7.0,8571,50.8,1558,3.0,48.7
"Nevada County, Arkansas",41761,27.6,8.3,8228,44.2,1843,2.7,51.1
"Newton County, Arkansas",47395,10.3,3.9,7175,48.9,1367,1.4,49.3
"Ouachita County, Arkansas",49838,12.2,4.6,22317,44.0,4968,2.0,51.8
"Perry County, Arkansas",60078,10.6,4.5,10073,44.1,2200,2.7,49.2
